position,shotattempts,scoring,passing,tackling,dribbling,name
Opponent1,0,0,0.856,0,0,Ederson
Opponent2,0.36,0,0.9,0.643,0.667,Kyle walker
Opponent3,0.66,0,0.941,0.5,0.889,Ruben dias
Opponent4,0.86,0.105,0.926,0.565,0.714,Nathan ake
Opponent5,0.81,0.04,0.886,0.659,0.679,Gvardiol
Opponent6,0.87,0.123,0.921,0.596,0.771,Rodri
Opponent7,0.15,0.206,0.89,0.488,0.635,Bernardo Silva
Opponent8,0.48,0.052,0.933,0.714,0.739,Kovacic
Opponent9,0.81,0.089,0.877,0.522,0.488,Alvarez
Opponent10,0.97,0.196,0.768,0.4,0.478,Haaland
Opponent11,0.89,0.156,0.887,0.63,0.512,Phil foden
