position,shotattempts,scoring,passing,tackling,dribbling,name
Opponent1,0,0,0.652,0,0,Shadow Ramsdale
Opponent2,0.59,0.166666667,0.868,0.667,1,Shadow Kiwior
Opponent3,0.85,0.142857143,0.893,0.529,0.333,Shadow Gabriel
Opponent4,0.19,0.25,0.925,0.607,0.4,Shadow Saliba
Opponent5,0.24,0.25,0.872,0.613,0.429,Shadow White
Opponent6,0.07,0.181818182,0.909,0.389,0.333,Shadow Jorginho
Opponent7,0.94,0.146341463,0.91,0.618,0.56,Shadow Rice
Opponent8,0.94,0.116666667,0.872,0.382,0.543,Shadow Ødegaard
Opponent9,0.64,0.177777778,0.762,0.688,0.571,Shadow Trossard
Opponent10,0.92,0.2,0.841,0.44,0.435,Shadow Havertz
Opponent11,0.86,0.166666667,0.831,0.531,0.476,Shadow Saka
